kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K03681.02,Kepler-1514 c,CANDIDATE → CONFIRMED,10.51421162,1.25,187.06,6259.0,q1_q17_dr25_tce,0.9559413637040517
K03925.01,Kepler-1530 d,CANDIDATE → CONFIRMED,9.2075634,5.5,211.08,5678.0,q1_q17_dr25_tce,0.8881050165157744
K03692.01,,CANDIDATE → FALSE POSITIVE,1.160153553,60.47,5363.78,6200.0,q1_q17_dr25_tce,0.13144071799764784
K03767.01,,FALSE POSITIVE → CANDIDATE,6.714247798,14.78,100.94,5159.0,q1_q17_dr25_tce,0.07496399355796089
K03771.01,,CANDIDATE → FALSE POSITIVE,5.80184753,14.0,225.81,5687.0,q1_q17_dr25_tce,0.4454510650555278
K03849.01,,CANDIDATE → FALSE POSITIVE,0.604358764,23.28,235.63,3569.0,q1_q17_dr25_tce,0.09732185079899382
K02029.03,Kepler-352 d,CANDIDATE → CONFIRMED,6.8873113,0.72,90.91,5208.0,q1_q17_dr25_tce,0.9145113150295059
K03777.01,,FALSE POSITIVE → CANDIDATE,17.7476059,146.63,3768.37,8992.0,q1_q17_dr25_tce,0.09043517088855604
K03856.01,,CANDIDATE → FALSE POSITIVE,1.811966339,95.19,10360.38,5904.0,q1_q17_dr25_tce,0.06513570321427634
K03783.01,,CANDIDATE → FALSE POSITIVE,197.1455327,72.16,14.53,7214.0,q1_q17_dr25_tce,0.08217090756056337
K01986.02,Kepler-1038 c,CANDIDATE → CONFIRMED,7.12766417,1.21,89.24,5159.0,q1_q17_dr25_tce,0.9206962043536134
K03787.01,,FALSE POSITIVE → CANDIDATE,141.73403059,10.3,2.77,5606.0,q1_q17_dr25_tce,0.8750005868975232
K03864.01,Kepler-1698 b,CANDIDATE → CONFIRMED,1.210693626,0.99,784.51,5014.0,q1_q17_dr25_tce,0.7010591065795861
K02061.02,Kepler-2001 b,CANDIDATE → CONFIRMED,1.090011003,1.04,911.28,5081.0,q1_q17_dr25_tce,0.5836301208437985
K03722.01,,FALSE POSITIVE → CANDIDATE,2.38920105,,752.42,,q1_q17_dr25_tce,0.08426040087184661
K03876.01,Kepler-1928 b,CANDIDATE → CONFIRMED,19.57783279,1.96,35.14,5620.0,q1_q17_dr25_tce,0.9830322957507528
K03880.01,,FALSE POSITIVE → CANDIDATE,1.803697292,1.0,2385.75,6438.0,q1_q17_dr25_tce,0.4545693231378222
K03810.01,,FALSE POSITIVE → CANDIDATE,1.013774136,18.59,110.51,3644.0,q1_q17_dr25_tce,0.22885627989230195
K03813.01,,CANDIDATE → FALSE POSITIVE,4.8591441,6.9,681.41,6586.0,q1_q17_dr25_tce,0.25636968826511025
K03890.01,,CANDIDATE → FALSE POSITIVE,152.8255989,34.85,68.47,4991.0,q1_q17_dr25_tce,0.6503859351456344
K03741.02,,FALSE POSITIVE → CANDIDATE,18.577903,1.36,140.97,6432.0,q1_q17_dr25_tce,0.14002898400332758
K01666.01,,FALSE POSITIVE → CANDIDATE,0.968026356,1.78,5205.91,6469.0,q1_q17_dr25_tce,0.39291599029132973
K01670.01,,FALSE POSITIVE → CANDIDATE,10.57910009,2.03,175.79,6323.0,q1_q17_dr25_tce,0.6645060563403112
K01671.01,Kepler-1763 b,CANDIDATE → CONFIRMED,1.480283464,0.97,2597.27,5897.0,q1_q17_dr25_tce,0.9424640799399547
K01745.01,,FALSE POSITIVE → CANDIDATE,0.982090079,29.95,1426.18,5472.0,q1_q17_dr25_tce,0.05440993795334975
K01694.01,,CANDIDATE → FALSE POSITIVE,3.690317047,20.23,634.09,6120.0,q1_q17_dr25_tce,0.5958354270071096
K02162.02,Kepler-1126 c,CANDIDATE → CONFIRMED,199.66876,1.45,2.06,5678.0,q1_q17_dr25_tce,0.9117798249184379
K03980.01,,CANDIDATE → FALSE POSITIVE,0.469334634,2.4,8264.27,5888.0,q1_q17_dr25_tce,0.16051750077285204
K01807.01,,CANDIDATE → FALSE POSITIVE,132.1331011,75.08,101.41,5067.0,q1_q17_dr25_tce,0.46736726378421817
K02663.01,Kepler-1867 b,CANDIDATE → CONFIRMED,9.88736642,0.68,82.32,5693.0,q1_q17_dr25_tce,0.8980725054546181
K01714.01,,CANDIDATE → FALSE POSITIVE,2.743978797,38.11,392.49,5334.0,q1_q17_dr25_tce,0.04207919169555265
K02141.01,,FALSE POSITIVE → CANDIDATE,1.306984786,18.33,2230.29,6102.0,q1_q17_dr25_tce,0.24002503119771887
K02612.01,Kepler-1994 b,CANDIDATE → CONFIRMED,4.61225043,0.51,268.27,5495.0,q1_q17_dr25_tce,0.9062735101597121
K01729.01,,CANDIDATE → FALSE POSITIVE,5.204286663,16.0,180.12,5332.0,q1_q17_dr25_tce,0.04060713912870083
K02783.01,,CANDIDATE → FALSE POSITIVE,0.526887517,0.58,550.37,3945.0,q1_q17_dr25_tce,0.546787119574955
K02879.01,,FALSE POSITIVE → CANDIDATE,0.339069751,2.09,41863.05,5653.0,q1_q17_dr25_tce,0.3073887456234692
K04002.01,Kepler-1932 b,CANDIDATE → CONFIRMED,0.524175803,1.27,3049.23,5278.0,q1_q17_dr25_tce,0.5956153622230134
K04004.01,Kepler-1933 b,CANDIDATE → CONFIRMED,4.94330596,1.41,296.74,5661.0,q1_q17_dr25_tce,0.9601693919978664
K01772.01,,FALSE POSITIVE → CANDIDATE,120.00336404,15.08,0.78,4315.0,q1_q17_dr25_tce,0.196812919549963
K02199.01,Kepler-1806 b,CANDIDATE → CONFIRMED,9.03326435,1.96,66.89,5311.0,q1_q17_dr25_tce,0.9501061712185941
