kepoi_name,kepid,kepler_name,koi_pdisposition,koi_score,ra,dec,koi_disposition,koi_disposition_2020,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_prad_err1,koi_prad_err2,koi_insol_err1,koi_insol_err2,seff_recent_venus,seff_runaway_greenhouse,seff_maximum_greenhouse,seff_early_mars,teff_in_range,hz_conservative,hz_optimistic,hz_conservative_possible,rocky,super_earth,sunlike_host,grazing,p_candidate,p_confirmed,p_false_positive,p_planet_like,model_verdict,p_planet_like_2020model
K03345.01,11303322,Kepler-1472 b,CANDIDATE,1.0,294.85263,49.057468,CONFIRMED,CONFIRMED,38.1303324,0.562,6.53,180.4,1.54,613.0,33.43,11.6,6370.0,4.41,1.106,14.633,0.47,-0.19,29.33,-10.82,1.90773045004983,1.18914770502709,0.392275617470425,0.352607521258029,True,False,False,False,True,True,True,False,0.61279,0.19072,0.19648,0.80352,CANDIDATE,0.87839
K03346.01,11241912,Kepler-1473 b,CANDIDATE,0.999,290.63657,48.996078,CONFIRMED,CONFIRMED,14.42735088,0.977,4.857,117.0,1.53,783.0,88.9,21.5,5929.0,4.403,1.04,13.359,0.25,-0.13,40.49,-21.3,1.80834316298633,1.1271691415999299,0.3652216336940445,0.3282891546962007,True,False,False,False,True,True,True,False,0.03476,0.83097,0.13427,0.86573,CONFIRMED,0.80145
K07759.01,6043538,,CANDIDATE,0.996,292.18057,41.31554,CANDIDATE,CANDIDATE,6.2253374,0.692,4.388,108.6,1.92,1378.0,851.73,11.8,6263.0,4.024,1.726,14.918,0.28,-0.43,333.76,-363.24,1.8834085812141175,1.1739803402234308,0.38581136735595606,0.34679689901006827,True,False,False,False,False,True,True,False,0.6556,0.16491,0.17949,0.82051,CANDIDATE,0.94123
K03347.01,8824737,Kepler-1917 b,CANDIDATE,0.96,294.10391,45.001419,CONFIRMED,CANDIDATE,12.90235874,0.382,2.446,354.4,1.49,675.0,48.99,15.7,5530.0,4.586,0.788,15.487,0.34,-0.13,33.53,-12.99,1.72437915234375,1.0748097695312497,0.34072641601562503,0.30627082382812504,True,False,False,False,True,True,True,False,0.26137,0.65113,0.08751,0.91249,CONFIRMED,0.90786
K03348.01,9349757,Kepler-1474 b,CANDIDATE,0.94,294.69406,45.86684,CONFIRMED,CONFIRMED,36.4337867,0.25,4.388,406.8,2.2,561.0,23.35,16.2,5566.0,4.329,1.099,15.246,0.33,-0.31,9.57,-6.96,1.7315736580056913,1.0792961482225996,0.3429019938780711,0.308226419940847,True,False,False,False,False,False,True,False,0.08078,0.88496,0.03426,0.96574,CONFIRMED,0.9752
K03419.01,11519134,,FALSE POSITIVE,0.0,297.03964,49.469139,FALSE POSITIVE,FALSE POSITIVE,58.5850357,1.309,3.5939,75468.0,149.98,707.0,59.16,656.5,6379.0,3.925,1.994,13.061,32.5,-48.81,38.36,-35.06,1.9097733688932297,1.1904216921115804,0.39281444266193544,0.3530918643849002,True,False,False,False,False,False,True,True,0.03157,0.00203,0.9664,0.0336,FALSE POSITIVE,0.01003
K03420.02,7289338,,CANDIDATE,0.969,294.01529,42.824371,CANDIDATE,CANDIDATE,12.5014905,0.43,3.882,220.1,2.24,952.0,194.3,10.8,5821.0,4.127,1.492,15.589,0.36,-0.44,82.18,-75.61,1.7847992529508983,1.1124871817477875,0.35853274235328025,0.3222766357110572,True,False,False,False,False,False,True,False,0.81034,0.08019,0.10946,0.89054,CANDIDATE,0.97419
K03421.01,5004909,,CANDIDATE,0.135,289.91971,40.16853,CANDIDATE,FALSE POSITIVE,40.6511021,0.682,11.282,136.4,1.7,651.0,42.54,17.3,6297.0,4.26,1.369,13.935,0.31,-0.21,19.52,-11.49,1.8911397004695536,1.1788015396410112,0.38787617047641804,0.348652919222527,True,False,False,False,False,True,True,False,0.72018,0.14738,0.13244,0.86756,CANDIDATE,0.90221
K07775.01,6278670,,CANDIDATE,0.571,289.72791,41.612289,CANDIDATE,CANDIDATE,89.945828,0.171,2.286,335.6,3.46,509.0,15.86,6.6,5115.0,3.819,1.924,13.64,2.21,-2.21,32.13,-14.02,1.6484690413969145,1.027474736466843,0.3165451883457765,0.28453447359769185,True,False,False,False,False,False,False,False,0.5159,0.00183,0.48227,0.51773,CANDIDATE,0.4273
K03422.01,5898983,,CANDIDATE,0.365,297.71487,41.104279,CANDIDATE,FALSE POSITIVE,40.1454757,0.491,5.2,310.8,13.01,1640.0,1708.38,5.2,7852.0,3.159,7.162,13.201,1.98,-5.94,1122.5,-1423.71,,,,,False,False,False,False,False,False,False,False,0.41011,0.00148,0.58841,0.41159,FALSE POSITIVE,0.30806
K01707.02,7703955,Kepler-315 c,CANDIDATE,0.995,298.0231,43.363522,CONFIRMED,CONFIRMED,265.47847,0.956,10.28,1040.7,4.2,291.0,1.7,18.1,5792.0,4.375,1.005,15.321,0.57,-0.57,0.65,-0.52,1.7785668244388209,1.1086006608037346,0.3567407589742957,0.3206658547673372,True,False,True,False,False,False,True,False,0.4172,0.03758,0.54521,0.45479,FALSE POSITIVE,0.71749
K01792.02,8552719,,FALSE POSITIVE,0.0,288.97165,44.624531,FALSE POSITIVE,FALSE POSITIVE,1.546222068,0.503,7.998,49.4,0.77,1578.0,1465.41,56.6,5611.0,4.388,1.073,12.16,0.12,-0.08,655.32,-367.45,1.740686816907837,1.0849789897531497,0.345634487943305,0.3106826175724018,True,False,False,False,True,True,True,False,0.02778,0.16095,0.81127,0.18873,FALSE POSITIVE,0.08318
K03491.01,12164634,,FALSE POSITIVE,0.0,294.32257,50.741692,FALSE POSITIVE,FALSE POSITIVE,89.3313828,0.899,11.919,2177.6,8.02,558.0,22.89,169.5,6860.0,4.233,1.467,13.68,2.71,-1.45,22.75,-9.93,2.01524011385088,1.2561923285222398,0.4198403156288,0.37738537309414405,True,False,False,False,False,False,False,False,0.2121,0.5047,0.2832,0.7168,CONFIRMED,0.8654
K03492.01,5193077,,FALSE POSITIVE,0.0,293.57211,40.3578,FALSE POSITIVE,FALSE POSITIVE,22.2941485,0.709,3.188,100.9,1.5,760.0,78.93,13.6,5915.0,4.223,1.392,13.03,0.31,-0.32,49.44,-35.23,1.8052638383845145,1.125248872821643,0.36435374259677655,0.3275090237915718,True,False,False,False,True,True,True,False,0.29267,0.65947,0.04786,0.95214,CONFIRMED,0.96188
K07733.01,5617259,,CANDIDATE,0.139,290.96094,40.896198,CANDIDATE,FALSE POSITIVE,1.048130894,0.216,5.6707,191.8,4.52,3871.0,52952.95,5.2,7673.0,3.679,3.214,11.86,0.42,-2.35,18406.17,-42641.33,,,,,False,False,False,False,False,False,False,False,0.12661,0.00214,0.87125,0.12875,FALSE POSITIVE,0.33292
K03493.01,8880123,Kepler-1925 b,CANDIDATE,0.998,289.8288,45.10276,CONFIRMED,CANDIDATE,46.7162336,0.266,7.259,345.5,2.03,531.0,18.74,15.4,5856.0,4.386,1.092,15.223,0.33,-0.18,8.08,-4.01,1.792373955597021,1.1172107493650303,0.3606983452033389,0.3242232558411896,True,False,False,False,False,False,True,False,0.29393,0.67976,0.02632,0.97368,CONFIRMED,0.95955
K03495.01,9474756,,CANDIDATE,0.924,295.55374,46.02911,CANDIDATE,CANDIDATE,17.6062701,0.923,6.134,146.2,1.72,753.0,75.96,10.4,5808.0,4.326,1.159,15.135,0.27,-0.22,31.78,-21.53,1.7820003644157703,1.1107418036358832,0.3577291406868333,0.32155429298594784,True,False,False,False,False,True,True,False,0.8431,0.08264,0.07426,0.92574,CANDIDATE,0.96048
